,YEAR,MONTH_NAME,BEGIN_DAY,STATE,BEGIN_DATE_TIME,END_DATE_TIME,INJURIES_DIRECT,DEATHS_DIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_LAT,BEGIN_LON,Region,BEGIN_DATE
0,2019,January,8,PENNSYLVANIA,2019-01-08 11:25:00,2019-01-08 11:28:00,0,0,5.00K,0.00K,EF1,2.8,400.0,2.0,41.44,-80.06,NORTHEAST,2019-01-08
1,2020,February,7,MARYLAND,2020-02-07 07:28:00,2020-02-07 07:29:00,0,0,92.00K,0.00K,EF1,1.11,150.0,2.0,39.1763,-77.4827,NORTHEAST,2020-02-07
2,2021,March,26,VERMONT,2021-03-26 12:40:00,2021-03-26 12:41:00,2,0,75.00K,0.00K,EF1,0.65,75.0,1.0,44.0267,-73.1449,NORTHEAST,2021-03-26
3,2021,April,21,CONNECTICUT,2021-04-21 13:49:00,2021-04-21 13:51:00,0,0,2.00K,5.00K,EF0,1.0,30.0,1.0,41.6877,-73.5052,NORTHEAST,2021-04-21
4,2021,April,21,NEW YORK,2021-04-21 13:49:00,2021-04-21 13:51:00,0,0,45.00K,0,EF1,0.64,100.0,1.0,41.8413,-73.5582,NORTHEAST,2021-04-21
5,2019,April,14,PENNSYLVANIA,2019-04-14 17:48:00,2019-04-14 17:49:00,0,0,50.00K,0.00K,EF0,0.4,100.0,0.0,41.798,-80.3734,NORTHEAST,2019-04-14
6,2019,April,15,MARYLAND,2019-04-15 02:31:00,2019-04-15 02:32:00,0,0,15.00K,0.00K,EF0,0.5,100.0,1.0,38.65,-75.76,NORTHEAST,2019-04-15
7,2022,May,20,NEW JERSEY,2022-05-20 16:09:00,2022-05-20 16:10:00,0,0,0,0.00K,EF0,0.84,225.0,1.0,40.415,-74.211,NORTHEAST,2022-05-20
8,2019,May,28,PENNSYLVANIA,2019-05-28 16:53:00,2019-05-28 17:00:00,0,0,0.00K,0.00K,EF2,2.8,400.0,1.0,40.1576,-75.905,NORTHEAST,2019-05-28
9,2019,May,23,MARYLAND,2019-05-23 14:27:00,2019-05-23 14:36:00,1,0,0,0,EF1,5.53,150.0,2.0,39.2072,-76.9451,NORTHEAST,2019-05-23
10,2023,June,16,NEW JERSEY,2023-06-16 11:55:00,2023-06-16 12:01:00,0,0,0.00K,0.00K,EF0,3.4,200.0,1.0,39.9291,-74.6873,NORTHEAST,2023-06-16
11,2023,June,26,PENNSYLVANIA,2023-06-26 13:58:00,2023-06-26 14:04:00,0,0,0.00K,0.00K,EF0,3.37,60.0,2.0,40.7904,-75.1453,NORTHEAST,2023-06-26
12,2019,June,16,PENNSYLVANIA,2019-06-16 16:03:00,2019-06-16 16:05:00,0,0,0,0,EF1,1.14,150.0,2.0,41.227,-80.519,NORTHEAST,2019-06-16
13,2021,July,1,DELAWARE,2021-07-01 15:52:00,2021-07-01 15:55:00,0,0,0,0,EF1,3.85,50.0,1.0,38.8892,-75.5826,NORTHEAST,2021-07-01
14,2023,July,2,PENNSYLVANIA,2023-07-02 15:25:00,2023-07-02 15:33:00,0,0,0.00K,0.00K,EF1,2.37,150.0,2.0,40.9921,-76.8825,NORTHEAST,2023-07-02
15,2021,July,29,PENNSYLVANIA,2021-07-29 13:25:00,2021-07-29 13:28:00,0,0,0.00K,0.00K,EF1,0.21,65.0,3.0,40.0099,-79.2367,NORTHEAST,2021-07-29
16,2021,July,17,NEW JERSEY,2021-07-17 21:25:00,2021-07-17 21:36:00,0,0,0,0.00K,EF1,7.75,300.0,2.0,40.051,-74.722,NORTHEAST,2021-07-17
17,2021,July,8,NEW YORK,2021-07-08 18:30:00,2021-07-08 18:36:00,0,0,107.50K,50.00K,EF1,2.16,100.0,1.0,43.3,-75.39,NORTHEAST,2021-07-08
18,2020,August,7,DELAWARE,2020-08-07 16:40:00,2020-08-07 16:51:00,0,0,0,0,EF1,4.17,450.0,1.0,39.7966,-75.6582,NORTHEAST,2020-08-07
19,2019,August,7,NEW JERSEY,2019-08-07 15:33:00,2019-08-07 15:34:00,0,0,0,0,EF0,0.33,25.0,1.0,40.2139,-74.5485,NORTHEAST,2019-08-07
20,2020,August,4,NEW JERSEY,2020-08-04 08:45:00,2020-08-04 08:50:00,0,0,0,0,EF1,4.24,150.0,1.0,39.2094,-74.6479,NORTHEAST,2020-08-04
21,2023,August,7,NEW YORK,2023-08-07 18:27:00,2023-08-07 18:30:00,0,0,5.00K,0.00K,EFU,0.85,100.0,2.0,43.54,-75.7,NORTHEAST,2023-08-07
22,2021,August,18,PENNSYLVANIA,2021-08-18 20:15:00,2021-08-18 20:18:00,0,0,0,0.00K,EF1,1.07,125.0,0.0,40.525,-76.001,NORTHEAST,2021-08-18
23,2020,August,22,NEW HAMPSHIRE,2020-08-22 11:45:00,2020-08-22 11:50:00,0,0,0.00K,0.00K,EF0,1.54,50.0,2.0,43.5666,-71.2714,NORTHEAST,2020-08-22
24,2021,August,19,NEW JERSEY,2021-08-19 01:38:00,2021-08-19 01:40:00,0,0,0,0.00K,EF0,0.87,50.0,0.0,40.902,-74.533,NORTHEAST,2021-08-19
25,2021,September,9,CONNECTICUT,2021-09-09 03:10:00,2021-09-09 03:11:00,0,0,40.00K,0.00K,EF0,0.75,75.0,1.0,41.75,-72.299,NORTHEAST,2021-09-09
26,2023,September,13,MASSACHUSETTS,2023-09-13 16:22:00,2023-09-13 16:25:00,0,0,5.00K,0.00K,EF0,0.07,70.0,1.0,41.9793,-71.3579,NORTHEAST,2023-09-13
27,2019,September,2,NEW YORK,2019-09-02 15:33:00,2019-09-02 15:38:00,0,0,75.00K,0.00K,EF0,1.63,50.0,2.0,40.8417,-72.8313,NORTHEAST,2019-09-02
28,2020,October,7,MASSACHUSETTS,2020-10-07 16:50:00,2020-10-07 16:51:00,0,0,6.00K,0.00K,EF0,0.53,50.0,2.0,42.1842,-71.3733,NORTHEAST,2020-10-07
29,2021,November,13,NEW YORK,2021-11-13 15:40:00,2021-11-13 15:42:00,0,0,100.00K,0.00K,EF0,1.28,35.0,1.0,40.7868,-72.9423,NORTHEAST,2021-11-13
30,2021,March,14,NEBRASKA,2021-03-14 13:33:00,2021-03-14 13:37:00,0,0,0.00K,0.00K,EFU,0.42,50.0,1.0,40.1675,-101.0498,NORTHERN ROCKIES AND PLAINS,2021-03-14
31,2022,April,23,SOUTH DAKOTA,2022-04-23 13:35:00,2022-04-23 13:36:00,0,0,0.00K,0.00K,EF0,0.03,10.0,7.0,45.58,-99.33,NORTHERN ROCKIES AND PLAINS,2022-04-23
32,2023,May,27,NEBRASKA,2023-05-27 17:06:00,2023-05-27 17:06:00,0,0,0,0,EFU,0.5,50.0,3.0,41.26,-103.93,NORTHERN ROCKIES AND PLAINS,2023-05-27
33,2021,May,23,SOUTH DAKOTA,2021-05-23 14:50:00,2021-05-23 14:55:00,0,0,0.00K,0.00K,EFU,2.13,10.0,6.0,45.3,-102.19,NORTHERN ROCKIES AND PLAINS,2021-05-23
34,2021,May,24,SOUTH DAKOTA,2021-05-24 19:36:00,2021-05-24 19:41:00,0,0,0.00K,0.00K,EFU,3.25,25.0,1.0,43.983,-97.366,NORTHERN ROCKIES AND PLAINS,2021-05-24
35,2022,May,7,SOUTH DAKOTA,2022-05-07 19:37:00,2022-05-07 19:37:00,0,0,0,0,EF0,0.01,10.0,1.0,45.6,-98.31,NORTHERN ROCKIES AND PLAINS,2022-05-07
36,2022,May,17,NORTH DAKOTA,2022-05-17 18:47:00,2022-05-17 18:49:00,0,0,0.00K,0.00K,EFU,0.33,50.0,5.0,48.86,-100.83,NORTHERN ROCKIES AND PLAINS,2022-05-17
37,2023,May,9,MONTANA,2023-05-09 16:30:00,2023-05-09 17:00:00,0,0,2.00K,0.00K,EF0,0.47,15.0,2.0,47.361,-114.055,NORTHERN ROCKIES AND PLAINS,2023-05-09
38,2021,May,15,SOUTH DAKOTA,2021-05-15 11:54:00,2021-05-15 11:59:00,0,0,0.00K,0.00K,EFU,1.29,25.0,4.0,42.966,-97.121,NORTHERN ROCKIES AND PLAINS,2021-05-15
39,2023,June,2,NEBRASKA,2023-06-02 15:53:00,2023-06-02 15:58:00,0,0,400.00K,1.50M,EF0,4.17,40.0,3.0,41.16,-98.04,NORTHERN ROCKIES AND PLAINS,2023-06-02
40,2022,June,6,NEBRASKA,2022-06-06 13:29:00,2022-06-06 13:29:00,0,0,0.00K,0.00K,EFU,0.05,20.0,1.0,41.85,-98.1,NORTHERN ROCKIES AND PLAINS,2022-06-06
41,2022,June,12,WYOMING,2022-06-12 15:35:00,2022-06-12 15:45:00,0,0,0,0,EF2,2.13,360.0,4.0,43.5884,-110.5228,NORTHERN ROCKIES AND PLAINS,2022-06-12
42,2023,June,1,SOUTH DAKOTA,2023-06-01 13:45:00,2023-06-01 13:45:00,0,0,0.00K,0.00K,EF0,0.01,10.0,6.0,45.461,-97.04,NORTHERN ROCKIES AND PLAINS,2023-06-01
43,2023,June,10,MONTANA,2023-06-10 13:09:00,2023-06-10 13:15:00,0,0,0,0,EFU,2.11,60.0,10.0,48.4065,-110.1916,NORTHERN ROCKIES AND PLAINS,2023-06-10
44,2023,June,7,NORTH DAKOTA,2023-06-07 18:44:00,2023-06-07 18:44:00,0,0,0,0,EFU,0.01,10.0,9.0,45.9378,-97.0886,NORTHERN ROCKIES AND PLAINS,2023-06-07
45,2022,June,24,NORTH DAKOTA,2022-06-24 15:52:00,2022-06-24 15:53:00,0,0,0.00K,0.00K,EF0,0.69,100.0,3.0,47.86,-98.49,NORTHERN ROCKIES AND PLAINS,2022-06-24
46,2020,June,20,SOUTH DAKOTA,2020-06-20 19:09:00,2020-06-20 19:10:00,0,0,0.00K,0.00K,EF0,0.18,10.0,3.0,45.0405,-98.0404,NORTHERN ROCKIES AND PLAINS,2020-06-20
47,2022,June,7,WYOMING,2022-06-07 13:21:00,2022-06-07 13:27:00,0,0,0,0,EF1,3.5,225.0,5.0,42.6999,-104.2002,NORTHERN ROCKIES AND PLAINS,2022-06-07
48,2021,June,10,NORTH DAKOTA,2021-06-10 16:32:00,2021-06-10 16:38:00,0,0,0.00K,0.00K,EFU,1.01,100.0,15.0,47.64,-103.87,NORTHERN ROCKIES AND PLAINS,2021-06-10
49,2019,July,16,WYOMING,2019-07-16 18:34:00,2019-07-16 18:44:00,0,0,0.00K,0.00K,EF0,1.19,10.0,4.0,44.2704,-105.1142,NORTHERN ROCKIES AND PLAINS,2019-07-16
50,2019,July,8,NEBRASKA,2019-07-08 17:38:00,2019-07-08 17:38:00,0,0,0.00K,0.00K,EF0,0.01,25.0,3.0,40.4266,-98.55,NORTHERN ROCKIES AND PLAINS,2019-07-08
51,2023,July,3,SOUTH DAKOTA,2023-07-03 15:04:00,2023-07-03 15:15:00,0,0,0,0,EF0,1.16,40.0,5.0,43.012,-97.685,NORTHERN ROCKIES AND PLAINS,2023-07-03
52,2020,July,7,MONTANA,2020-07-07 15:10:00,2020-07-07 15:15:00,0,0,0.00K,0.00K,EF0,0.15,50.0,8.0,47.1774,-108.5215,NORTHERN ROCKIES AND PLAINS,2020-07-07
53,2021,July,3,NEBRASKA,2021-07-03 16:16:00,2021-07-03 16:16:00,0,0,0.00K,0.00K,EFU,0.1,10.0,2.0,42.79,-102.31,NORTHERN ROCKIES AND PLAINS,2021-07-03
54,2019,July,4,SOUTH DAKOTA,2019-07-04 19:21:00,2019-07-04 19:22:00,0,0,0,0.00K,EF1,0.3,200.0,7.0,44.138,-103.86,NORTHERN ROCKIES AND PLAINS,2019-07-04
55,2021,July,6,MONTANA,2021-07-06 17:11:00,2021-07-06 17:20:00,0,0,0,0,EFU,4.89,30.0,8.0,48.038,-108.84,NORTHERN ROCKIES AND PLAINS,2021-07-06
56,2023,July,7,NORTH DAKOTA,2023-07-07 12:30:00,2023-07-07 12:31:00,0,0,0.00K,0.00K,EFU,0.17,40.0,22.0,46.25,-99.03,NORTHERN ROCKIES AND PLAINS,2023-07-07
57,2023,August,5,NEBRASKA,2023-08-05 18:53:00,2023-08-05 18:53:00,0,0,0,0,EFU,0.1,25.0,1.0,41.71,-96.71,NORTHERN ROCKIES AND PLAINS,2023-08-05
58,2019,August,23,WYOMING,2019-08-23 15:22:00,2019-08-23 15:25:00,0,0,0.00K,0.00K,EF0,0.83,30.0,2.0,42.93,-106.35,NORTHERN ROCKIES AND PLAINS,2019-08-23
59,2020,August,30,SOUTH DAKOTA,2020-08-30 17:03:00,2020-08-30 17:13:00,0,1,0,0,EF2,1.6,300.0,7.0,44.709,-98.9875,NORTHERN ROCKIES AND PLAINS,2020-08-30
60,2021,August,22,NORTH DAKOTA,2021-08-22 17:02:00,2021-08-22 17:03:00,0,0,0,0,EF0,0.31,25.0,1.0,48.06,-98.8553,NORTHERN ROCKIES AND PLAINS,2021-08-22
61,2020,August,28,SOUTH DAKOTA,2020-08-28 00:26:00,2020-08-28 00:27:00,0,0,0,33.00K,EFU,0.36,25.0,4.0,44.4357,-97.6567,NORTHERN ROCKIES AND PLAINS,2020-08-28
62,2023,August,8,NEBRASKA,2023-08-08 15:50:00,2023-08-08 15:50:00,0,0,0.00K,0.00K,EFU,0.05,25.0,7.0,41.7,-102.84,NORTHERN ROCKIES AND PLAINS,2023-08-08
63,2019,September,10,WYOMING,2019-09-10 14:09:00,2019-09-10 14:14:00,0,0,0,0,EFU,2.42,30.0,1.0,42.31,-104.7,NORTHERN ROCKIES AND PLAINS,2019-09-10
64,2021,October,9,SOUTH DAKOTA,2021-10-09 16:31:00,2021-10-09 16:31:00,0,0,0,0,EF0,0.01,10.0,2.0,45.52,-97.52,NORTHERN ROCKIES AND PLAINS,2021-10-09
65,2021,December,15,NEBRASKA,2021-12-15 15:41:00,2021-12-15 15:42:00,0,0,0,0,EF1,0.36,50.0,3.0,41.89,-96.79,NORTHERN ROCKIES AND PLAINS,2021-12-15
66,2020,March,31,WASHINGTON,2020-03-31 13:30:00,2020-03-31 13:45:00,0,0,0.00K,0.00K,EF0,0.1,20.0,0.0,46.33,-119.28,NORTHWEST,2020-03-31
67,2023,May,26,IDAHO,2023-05-26 17:45:00,2023-05-26 18:45:00,0,0,0,0,EF0,0.95,3.0,1.0,43.71,-116.47,NORTHWEST,2023-05-26
