datetime,dew,humidity,precip,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,icon,Region,Tornado,Temp_Difference
2019-01-01,31.4,91.4,0.583,21.9,11.4,315.9,1024.8,99.5,5.6,15.3,1.2,1.0,"Snow, Rain, Overcast",rain,OHIO VALLEY,0,7.100000000000001
2019-01-03,43.2,89.2,0.172,0.0,8.6,250.5,1016.9,65.9,8.0,32.0,2.6,1.0,"Rain, Partially cloudy",rain,SOUTHEAST,0,14.0
2019-01-04,50.1,85.9,1.227,34.2,18.9,207.4,1008.9,77.6,6.5,70.3,5.9,6.0,"Rain, Partially cloudy",rain,SOUTHEAST,1,19.599999999999994
2019-01-07,31.0,71.6,0.064,51.4,18.5,234.9,1017.4,68.7,9.0,26.8,2.3,2.0,"Rain, Partially cloudy",snow,WEST,0,8.899999999999999
2019-01-08,34.4,87.7,0.151,23.0,8.6,108.0,1013.3,94.2,5.9,627.6,53.9,1.0,"Snow, Rain, Overcast",rain,NORTHEAST,1,9.600000000000001
2019-01-11,14.4,52.6,0.0,16.1,12.1,339.9,1027.9,14.8,9.9,102.3,8.8,5.0,Clear,clear-day,SOUTHEAST,0,17.400000000000002
2019-01-15,32.6,71.5,0.0,0.0,10.2,322.7,1026.5,57.0,9.9,38.3,3.4,2.0,Partially cloudy,partly-cloudy-day,SOUTHEAST,0,11.300000000000004
2019-01-19,55.5,91.0,0.944,31.9,17.4,197.3,1007.9,76.9,8.0,13.5,1.2,1.0,"Rain, Partially cloudy",rain,SOUTHEAST,1,19.799999999999997
2019-01-26,23.5,60.7,0.0,0.0,12.1,230.3,1022.8,23.3,9.6,87.8,7.7,4.0,Partially cloudy,partly-cloudy-day,SOUTH,0,30.700000000000003
2019-01-29,-2.2,62.4,0.0,36.6,24.9,282.2,1020.7,10.2,9.9,136.8,12.1,5.0,Clear,clear-day,OHIO VALLEY,0,15.100000000000001
2019-02-04,47.8,86.0,0.084,24.2,15.0,179.5,1013.5,54.8,9.3,51.2,4.4,3.0,"Rain, Partially cloudy",rain,OHIO VALLEY,0,19.799999999999997
2019-02-06,60.5,88.9,3.319,31.1,14.4,188.4,1013.3,82.7,6.8,19.1,1.6,1.0,"Rain, Partially cloudy",rain,OHIO VALLEY,1,10.400000000000006
2019-02-14,30.5,37.5,0.0,33.5,24.7,209.9,1005.1,36.1,9.9,100.8,8.7,5.0,Partially cloudy,partly-cloudy-day,SOUTH,0,19.999999999999993
2019-02-15,40.4,78.7,0.269,29.9,15.6,190.1,1014.5,62.3,9.4,85.3,7.5,4.0,"Rain, Partially cloudy",rain,WEST,1,7.899999999999999
2019-02-17,13.2,57.4,0.0,31.1,16.5,224.7,1011.0,33.7,9.6,500.5,43.0,6.0,Partially cloudy,partly-cloudy-day,SOUTHWEST,1,17.6
2019-02-23,67.6,85.4,0.56,33.8,22.1,189.6,1011.6,63.0,9.0,86.4,7.5,4.0,"Rain, Partially cloudy",rain,SOUTH,1,18.89999999999999
2019-02-25,36.5,55.9,0.0,9.6,9.7,127.0,1017.1,39.5,9.9,194.0,16.9,7.0,Partially cloudy,partly-cloudy-day,SOUTHWEST,0,24.0
2019-03-11,47.6,72.5,0.043,20.6,8.8,342.7,1023.1,57.5,9.8,44.6,4.0,2.0,"Rain, Partially cloudy",rain,SOUTHEAST,0,14.200000000000003
2019-03-11,33.9,46.8,0.0,0.0,11.9,283.0,1020.8,52.8,9.9,84.1,7.3,4.0,Partially cloudy,partly-cloudy-day,SOUTHEAST,0,13.699999999999996
2019-03-12,41.4,83.9,0.5,37.6,22.7,153.9,1005.5,73.7,9.0,475.0,40.8,7.0,"Rain, Partially cloudy",rain,SOUTHWEST,1,20.1
2019-03-14,62.1,71.2,0.0,25.1,15.4,160.3,1016.4,73.9,9.9,133.2,11.6,6.0,Partially cloudy,partly-cloudy-day,SOUTHEAST,1,14.899999999999991
2019-03-14,55.8,72.8,0.018,27.6,17.3,154.0,1018.5,69.2,9.4,105.0,9.0,6.0,"Rain, Partially cloudy",rain,SOUTHEAST,1,16.5
2019-03-15,22.3,43.7,0.0,30.6,20.8,348.1,1029.3,3.6,9.9,185.9,16.1,7.0,Clear,clear-day,SOUTH,0,20.9
