,state,date,Region,MONTH_NAME
0,NEW JERSEY,2021-02-10,NORTHEAST,February
1,NEW JERSEY,2019-03-30,NORTHEAST,March
2,CONNECTICUT,2021-04-03,NORTHEAST,April
3,MARYLAND,2020-04-03,NORTHEAST,April
4,NEW YORK,2020-04-16,NORTHEAST,April
5,MAINE,2023-04-23,NORTHEAST,April
6,NEW YORK,2023-04-10,NORTHEAST,April
7,DELAWARE,2020-04-09,NORTHEAST,April
8,PENNSYLVANIA,2020-04-27,NORTHEAST,April
9,NEW JERSEY,2020-04-09,NORTHEAST,April
10,PENNSYLVANIA,2020-05-31,NORTHEAST,May
11,MAINE,2022-05-29,NORTHEAST,May
12,VERMONT,2020-05-09,NORTHEAST,May
13,DELAWARE,2022-05-14,NORTHEAST,May
14,PENNSYLVANIA,2020-05-07,NORTHEAST,May
15,PENNSYLVANIA,2022-05-14,NORTHEAST,May
16,DELAWARE,2021-06-04,NORTHEAST,June
17,CONNECTICUT,2021-06-28,NORTHEAST,June
18,MAINE,2020-06-23,NORTHEAST,June
19,VERMONT,2022-06-02,NORTHEAST,June
20,VERMONT,2020-06-12,NORTHEAST,June
21,NEW YORK,2020-06-05,NORTHEAST,June
22,NEW YORK,2022-07-01,NORTHEAST,July
23,MASSACHUSETTS,2019-07-13,NORTHEAST,July
24,MAINE,2019-07-02,NORTHEAST,July
25,DELAWARE,2021-07-22,NORTHEAST,July
26,NEW YORK,2022-07-21,NORTHEAST,July
27,MAINE,2020-07-13,NORTHEAST,July
28,MAINE,2019-07-31,NORTHEAST,July
29,PENNSYLVANIA,2021-07-22,NORTHEAST,July
30,PENNSYLVANIA,2021-07-22,NORTHEAST,July
31,VERMONT,2023-07-23,NORTHEAST,July
32,MAINE,2020-08-25,NORTHEAST,August
33,NEW HAMPSHIRE,2022-08-02,NORTHEAST,August
34,MAINE,2022-08-06,NORTHEAST,August
35,MASSACHUSETTS,2023-08-28,NORTHEAST,August
36,CONNECTICUT,2019-08-01,NORTHEAST,August
37,VERMONT,2021-08-05,NORTHEAST,August
38,DELAWARE,2022-08-31,NORTHEAST,August
39,MARYLAND,2019-08-16,NORTHEAST,August
40,DELAWARE,2022-08-19,NORTHEAST,August
41,CONNECTICUT,2023-08-20,NORTHEAST,August
42,NEW JERSEY,2022-08-12,NORTHEAST,August
43,NEW JERSEY,2021-08-03,NORTHEAST,August
44,DELAWARE,2019-08-14,NORTHEAST,August
45,MARYLAND,2022-08-31,NORTHEAST,August
46,NEW JERSEY,2023-09-06,NORTHEAST,September
47,PENNSYLVANIA,2023-09-06,NORTHEAST,September
48,MARYLAND,2019-09-07,NORTHEAST,September
49,NEW HAMPSHIRE,2022-09-21,NORTHEAST,September
50,NEW JERSEY,2021-09-10,NORTHEAST,September
51,PENNSYLVANIA,2020-09-13,NORTHEAST,September
52,MARYLAND,2020-10-13,NORTHEAST,October
53,NEW JERSEY,2021-10-17,NORTHEAST,October
54,RHODE ISLAND,2021-10-17,NORTHEAST,October
55,NEW HAMPSHIRE,2021-11-05,NORTHEAST,November
56,MAINE,2022-11-28,NORTHEAST,November
57,WYOMING,2019-04-01,NORTHERN ROCKIES AND PLAINS,April
58,MONTANA,2019-04-23,NORTHERN ROCKIES AND PLAINS,April
59,MONTANA,2021-04-03,NORTHERN ROCKIES AND PLAINS,April
60,WYOMING,2021-05-01,NORTHERN ROCKIES AND PLAINS,May
61,NEBRASKA,2021-05-01,NORTHERN ROCKIES AND PLAINS,May
62,WYOMING,2020-05-10,NORTHERN ROCKIES AND PLAINS,May
63,NEBRASKA,2019-05-16,NORTHERN ROCKIES AND PLAINS,May
64,WYOMING,2022-05-28,NORTHERN ROCKIES AND PLAINS,May
65,SOUTH DAKOTA,2020-05-07,NORTHERN ROCKIES AND PLAINS,May
66,MONTANA,2020-05-31,NORTHERN ROCKIES AND PLAINS,May
67,SOUTH DAKOTA,2020-05-01,NORTHERN ROCKIES AND PLAINS,May
68,MONTANA,2023-05-17,NORTHERN ROCKIES AND PLAINS,May
