,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
0,2022-02-04,1643950800,40.0,21.9,30.9,35.8,9.7,21.6,28.5,90.9,1.696,100.0,100.0,"['rain', 'snow']",0.0,3.0,23.7,19.5,9.7,1015.0,100.0,2.6,10.4,0.9,1.0,10.0,06:54:34,1643975674,17:02:20,1644012140,0.11,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"['KOWD', 'AV085', '72509854704', 'KBED', '0518W', 'KBOS', '72509014739', '72505914702', 'AT018']",obs
1,2020-03-25,1585108800,41.2,18.0,29.7,36.7,13.2,26.6,21.8,75.0,0.0,0.0,0.0,,0.0,0.0,,11.3,168.4,1023.0,72.6,6.0,171.0,14.7,7.0,,06:43:16,1585132996,19:09:38,1585177778,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['EMRV1', 'K1V4', '72614054742', 'VTW12', 'KMPV', 'KMVL', 'C1219', '72611454771', '72614594705']",obs
2,2020-04-06,1586145600,67.5,50.0,56.9,67.5,47.2,56.8,36.8,52.7,0.005,100.0,12.5,['rain'],0.0,0.0,20.8,13.5,354.0,1015.9,21.6,9.9,272.4,23.7,9.0,,06:30:33,1586169033,19:26:39,1586215599,0.45,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'KNYC', 'F1417', '72503014732']",obs
3,2019-04-09,1554782400,30.8,25.1,28.2,29.9,13.7,21.1,26.3,92.3,0.091,100.0,8.33,"['rain', 'snow']",0.0,0.1,18.3,12.7,44.2,1009.1,95.2,6.6,85.0,7.4,3.0,,06:06:14,1554804374,19:15:59,1554851759,0.15,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,snow,"['KWVL', 'KIWI', '72713594623', 'RA019', '72618514605', 'KAUG', '72607314615']",obs
4,2020-04-02,1585800000,38.9,33.2,34.9,30.8,25.3,27.3,29.8,81.9,0.213,100.0,33.33,"['rain', 'snow']",0.0,0.0,26.1,15.8,326.9,1008.8,89.0,8.5,98.4,8.4,4.0,,06:28:40,1585823320,19:19:29,1585869569,0.32,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"['EMRV1', 'K1V4', '72614054742', 'VTW12', 'KMPV', 'KMVL', 'C1219', '72611454771', '72614594705']",obs
5,2023-04-09,1681012800,50.9,30.4,40.7,50.9,24.8,37.4,20.9,47.9,0.0,0.0,0.0,,0.0,0.0,15.0,12.7,90.6,1032.6,7.7,9.9,214.6,18.6,7.0,10.0,06:15:26,1681035326,19:19:50,1681082390,0.62,Clear,Clear conditions throughout the day.,clear-day,"['KPVD', '72505464710', 'F2973', '72507014765', 'E7318', 'KSFZ']",obs
6,2023-04-10,1681099200,65.0,34.0,48.1,65.0,29.8,46.7,19.5,34.7,0.0,0.0,0.0,,0.0,0.0,20.8,10.3,233.2,1026.3,0.0,9.9,248.4,21.6,8.0,10.0,06:04:27,1681121067,19:17:17,1681168637,0.66,Clear,Clear conditions throughout the day.,clear-day,"['KWVL', 'KIWI', '72713594623', '72618514605', '0770W', 'KAUG', '72607314615']",obs
7,2022-04-19,1650340800,51.2,42.2,47.0,51.2,34.6,42.1,31.0,56.2,0.027,100.0,4.17,['rain'],0.0,0.0,38.0,19.7,288.4,1013.5,73.3,9.4,126.0,10.9,4.0,10.0,06:23:37,1650363817,19:47:11,1650412031,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['99999913752', '72215899999', 'F7211', '72406093721', 'KBWI', 'KNAK', '74594013705']",obs
8,2023-04-10,1681099200,69.2,37.0,55.2,69.2,37.0,55.0,29.1,40.5,0.0,0.0,0.0,,0.0,0.0,8.1,9.6,203.3,1030.2,0.9,9.9,233.2,20.1,8.0,10.0,06:37:19,1681123039,19:41:08,1681170068,0.66,Clear,Clear conditions throughout the day.,clear-day,"['KMDT', 'KTHV', 'AV047', 'KMUI', 'MNGP1', '72511814751', 'KCXY', '72399014711']",obs
9,2020-04-01,1585713600,44.0,29.6,37.6,37.9,22.8,30.9,28.7,71.1,0.0,0.0,0.0,,0.0,0.0,30.3,18.5,18.9,1007.3,59.6,9.9,6.4,0.2,0.0,,06:27:33,1585736853,19:11:48,1585782708,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KPVD', '72506854777', 'AN448', 'KTAN', '72505464710', '72507014765', 'E7318', 'KSFZ']",obs
