,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,severerisk
0,2019-04-15,1555300800,72.7,48.5,59.4,72.7,42.7,59.1,47.4,67.3,1.09,100.0,25.0,['rain'],0.0,0.0,45.5,32.1,259.8,1002.1,53.6,9.2,227.0,19.5,8.0,06:25:36,1555323936,19:39:22,1555371562,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"['KDOV', '72408813707', '72407513735', 'KWWD', 'KMIV', '72409313764', 'DE026']",obs,
1,2023-04-22,1682136000,75.5,56.0,62.3,75.5,56.0,62.3,53.3,74.4,1.123,100.0,33.33,['rain'],0.0,0.0,49.4,18.9,141.3,1009.5,57.5,8.8,108.0,9.1,6.0,06:19:24,1682158764,19:53:28,1682207608,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['KMDT', 'KTHV', 'AV047', 'MNGP1', '72511814751', 'KCXY', '72399014711']",obs,10.0
2,2019-05-28,1559016000,86.7,62.9,72.8,90.4,62.9,73.5,62.8,71.6,0.302,100.0,33.33,['rain'],0.0,0.0,51.0,12.6,236.4,1008.2,53.9,9.9,199.3,17.3,7.0,05:42:07,1559036527,20:27:55,1559089675,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['KMDT', 'KTHV', 'KMUI', 'MNGP1', '72511814751', 'KCXY', '72399014711', 'E7690']",obs,
3,2019-05-30,1559188800,87.2,74.0,79.0,89.0,74.0,79.7,67.7,69.3,0.0,0.0,0.0,,0.0,0.0,34.9,16.1,214.8,1007.7,27.0,9.0,168.7,14.5,9.0,05:43:16,1559209396,20:24:06,1559262246,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['D7859', '99999913752', '72215899999', '72406093721', 'KBWI', 'E0642', 'KNAK', '74594013705']",obs,
4,2021-06-21,1624248000,92.9,74.3,81.0,96.3,74.3,82.5,68.3,66.9,0.002,100.0,4.17,['rain'],0.0,0.0,35.0,16.2,202.4,1004.8,45.8,9.6,118.3,10.1,7.0,05:38:10,1624268290,20:40:44,1624322444,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['KMDT', 'D5425', 'KTHV', 'KMUI', 'AV047', 'MNGP1', '72511814751', '0530W', 'KCXY', '72399014711']",obs,
5,2023-07-02,1688270400,85.7,72.7,78.6,93.3,72.7,80.6,70.4,77.0,0.684,100.0,41.67,['rain'],0.0,0.0,34.4,10.8,209.0,1010.5,74.6,7.8,130.9,11.1,5.0,05:42:06,1688290926,20:41:00,1688344860,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['KMDT', 'KTHV', 'KMUI', 'AV047', 'MNGP1', '72511814751', 'KCXY', '72399014711']",obs,30.0
6,2022-07-28,1658980800,86.0,74.1,80.6,92.7,74.1,83.3,70.8,73.1,0.144,100.0,8.33,['rain'],0.0,0.0,21.9,9.3,210.7,1010.2,46.4,9.9,238.0,20.5,9.0,05:49:00,1659001740,20:15:35,1659053735,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F8726', 'KNYC', 'F1417', '72503014732']",obs,60.0
7,2021-07-01,1625112000,87.2,71.6,77.7,92.4,71.6,79.2,70.5,79.9,0.445,100.0,16.67,['rain'],0.0,0.0,25.3,11.4,298.4,1011.5,55.6,9.5,221.8,19.1,8.0,05:39:53,1625132393,20:32:07,1625185927,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['DE030', 'KDOV', '72408813707', '72407513735', 'KWWD', 'KMIV', '72409313764', 'DE026']",obs,
8,2020-08-04,1596513600,80.2,70.6,74.7,82.3,70.6,74.8,69.9,86.1,2.077,100.0,54.17,['rain'],0.0,0.0,48.1,27.1,173.3,1009.2,57.5,7.4,84.4,7.4,5.0,06:00:12,1596535212,20:09:22,1596586162,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['KTTN', 'KWRI', '72409514792', '72408594732', '72409614706', 'KPNE', 'D5416']",obs,
9,2021-08-19,1629345600,82.0,74.0,77.8,86.8,74.0,78.9,71.6,81.3,2.599,100.0,41.67,['rain'],0.0,0.0,29.1,11.3,173.3,1013.3,94.7,8.6,89.2,7.8,5.0,06:03:24,1629367404,19:44:23,1629416663,0.4,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['KMMK', 'KHFD', 'E6187', '72508714752', 'KBDL', '72508014740', '72502754788']",obs,
