,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,severerisk
0,2021-01-17,1610859600,45.9,37.1,40.6,41.2,27.5,33.0,26.9,58.3,0.0,0.0,0.0,,0.0,0.0,32.2,24.0,266.6,1003.5,60.9,9.9,78.3,6.8,4.0,07:16:59,1610885819,16:55:55,1610920555,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72505394728', '0826W', '72055399999', 'KLGA', 'E5816', 'KJRB', 'F8726', 'KNYC', 'F1417', '72503014732']",obs,
1,2022-02-19,1645246800,28.1,6.9,16.4,17.6,-6.2,6.3,7.3,67.8,0.041,100.0,12.5,['snow'],0.0,0.5,36.3,22.6,258.4,1012.5,70.2,6.5,11.7,1.0,1.0,06:43:46,1645271026,17:25:10,1645309510,0.61,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"['EMRV1', 'K1V4', 'UVM04', '72614054742', 'VTW12', 'KMPV', 'KMVL', 'C1219', '72611454771', '72614594705']",obs,10.0
2,2022-03-01,1646110800,30.6,-0.4,16.2,24.8,-5.5,10.5,6.8,67.2,0.081,100.0,33.33,['snow'],0.6,6.8,25.9,17.5,178.6,1020.5,88.9,7.2,49.3,4.0,2.0,06:27:21,1646134041,17:38:35,1646174315,0.96,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"['EMRV1', 'K1V4', '72614054742', 'VTW12', 'KMPV', 'KMVL', 'C1219', '72611454771', '72614594705']",obs,10.0
3,2022-04-18,1650254400,48.5,39.1,44.8,41.8,32.0,38.0,32.4,64.0,1.134,100.0,29.17,['rain'],0.0,0.0,34.3,27.4,57.0,1021.5,49.3,8.2,67.7,5.7,2.0,06:20:55,1650277255,19:42:36,1650325356,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['KDOV', '72408813707', '72407513735', 'KWWD', 'KMIV', '72409313764', 'DE026']",obs,10.0
4,2019-04-11,1554955200,53.0,43.7,48.3,53.0,37.7,44.4,37.4,66.2,0.0,0.0,0.0,,0.0,0.0,24.2,17.1,67.5,1022.0,37.4,9.9,197.2,16.9,8.0,06:31:31,1554978691,19:35:28,1555025728,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KDOV', '72408813707', '72407513735', 'KWWD', 'KMIV', '72409313764', 'DE026']",obs,
5,2022-04-15,1649995200,68.0,49.7,59.3,68.0,49.7,59.3,27.7,31.6,0.011,100.0,4.17,['rain'],0.0,0.0,35.3,16.1,252.0,1017.1,19.7,9.9,246.8,21.3,9.0,06:10:29,1650017429,19:31:40,1650065500,0.46,Rain,Clear conditions throughout the day with early morning rain.,rain,"['KMMK', 'KHFD', 'E6187', '72508714752', 'KBDL', '72508014740', '72502754788']",obs,10.0
6,2020-04-26,1587873600,56.0,37.2,44.8,56.0,32.2,42.6,26.7,53.5,0.012,100.0,4.17,['rain'],0.0,0.0,32.2,18.3,83.0,1018.0,46.6,9.8,104.8,9.1,4.0,05:45:57,1587894357,19:42:31,1587944551,0.12,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"['KCON', '72615554736', 'KLCI', '72605014745', 'D3142', '74394514710', 'KMHT']",obs,
7,2020-04-03,1585886400,52.9,46.1,50.3,52.9,43.0,49.8,39.6,67.0,0.017,100.0,29.17,['rain'],0.0,0.0,31.1,16.0,353.8,1005.4,66.8,9.9,107.0,9.2,5.0,06:35:23,1585910123,19:23:31,1585956211,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'KNYC', 'F1417', '72503014732']",obs,
8,2022-04-03,1648958400,50.6,31.5,41.0,50.6,30.7,38.8,30.9,68.5,0.007,100.0,8.33,['rain'],0.0,0.0,17.2,11.4,222.9,1010.2,55.4,9.9,112.2,9.6,6.0,06:25:00,1648981500,19:13:29,1649027609,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['KPVD', '72506854777', 'KTAN', '72505464710', '72507014765', 'E7318', 'KSFZ']",obs,10.0
9,2022-04-03,1648958400,46.2,25.9,35.7,43.6,24.8,33.6,23.2,62.4,0.0,0.0,0.0,,0.0,0.0,16.8,8.2,336.4,1012.5,66.9,9.6,131.2,11.2,5.0,06:27:45,1648981665,19:20:08,1649028008,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['EMRV1', 'K1V4', '72614054742', 'VTW12', 'KMVL', 'C1219', '72611454771', '72614594705']",obs,10.0
10,2021-04-22,1619064000,36.0,29.0,32.5,27.8,17.0,22.5,20.4,63.3,0.022,100.0,8.33,"['rain', 'snow']",0.0,0.0,38.9,24.1,289.6,998.5,98.0,8.9,150.0,12.9,5.0,05:43:20,1619084600,19:32:34,1619134354,0.35,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,rain,"['KWVL', 'KIWI', '72713594623', '72618514605', '0770W', 'KAUG', '72607314615']",obs,
