,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,severerisk
0,2019-01-08,1546923600,42.7,33.1,37.8,39.8,26.8,34.0,34.4,87.7,0.151,100.0,25.0,"['rain', 'snow']",0.0,0.0,23.0,8.6,108.0,1013.3,94.2,5.9,627.6,53.9,1.0,07:30:13,1546950613,16:58:25,1546984705,0.09,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"['KMDT', 'KTHV', 'KMUI', 'AV047', 'E3000', 'MNGP1', '72511814751', 'KCXY', '72399014711']",obs,
1,2023-02-21,1676955600,50.6,35.0,43.2,50.6,33.0,40.7,36.7,78.6,0.171,100.0,37.5,['rain'],0.0,0.0,33.9,13.9,359.3,1003.9,66.1,8.4,68.0,5.8,5.0,06:44:27,1676979867,17:41:29,1677019289,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['KTTN', 'KWRI', '72409514792', '72408594732', '72409614706', 'KPNE', 'D5416']",obs,10.0
2,2022-03-31,1648699200,74.9,41.6,56.7,74.9,38.4,56.3,46.0,68.0,0.855,100.0,29.17,['rain'],0.0,0.0,40.1,24.8,169.5,1002.6,86.0,8.8,46.5,4.0,4.0,06:52:51,1648723971,19:31:07,1648769467,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['KMDT', 'D5425', 'KTHV', 'KMUI', 'AV047', '72511814751', '0530W', 'KCXY', '72399014711']",obs,10.0
3,2023-04-22,1682136000,72.0,58.9,65.2,72.0,58.9,65.2,55.9,73.0,0.455,100.0,25.0,['rain'],0.0,0.0,32.2,17.2,157.4,1010.5,34.3,9.0,78.1,6.6,5.0,06:19:49,1682158789,19:49:52,1682207392,0.08,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"['99999913752', 'F7211', '72215899999', '72406093721', 'KBWI', 'KNAK', '74594013705']",obs,10.0
4,2023-04-22,1682136000,75.5,56.0,62.3,75.5,56.0,62.3,53.3,74.4,1.123,100.0,33.33,['rain'],0.0,0.0,49.4,18.9,141.3,1009.5,57.5,8.8,108.0,9.1,6.0,06:19:24,1682158764,19:53:28,1682207608,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['KMDT', 'KTHV', 'AV047', 'MNGP1', '72511814751', 'KCXY', '72399014711']",obs,10.0
5,2019-04-26,1556251200,73.1,59.0,64.1,73.1,59.0,64.1,55.1,73.0,0.506,100.0,16.67,['rain'],0.0,0.0,32.2,18.3,175.4,1001.9,64.0,9.2,86.8,7.4,7.0,06:14:31,1556273671,19:53:41,1556322821,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['D7859', '99999913752', '72215899999', '72406093721', 'E8466', 'KBWI', 'KNAK', '74594013705']",obs,
6,2019-04-19,1555646400,73.6,65.3,69.0,73.6,65.3,69.0,59.0,71.4,0.584,100.0,33.33,['rain'],0.0,0.0,29.7,18.2,163.0,1005.0,57.2,9.4,74.8,6.4,3.0,06:23:43,1555669423,19:50:18,1555717818,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['KMDT', 'KTHV', 'KMUI', 'AV047', 'MNGP1', '72511814751', 'KCXY', '72399014711']",obs,
7,2019-05-30,1559188800,87.2,74.0,79.0,89.0,74.0,79.7,67.7,69.3,0.0,0.0,0.0,,0.0,0.0,34.9,16.1,214.8,1007.7,27.0,9.0,168.7,14.5,9.0,05:43:16,1559209396,20:24:06,1559262246,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['D7859', '99999913752', '72215899999', '72406093721', 'KBWI', 'E0642', 'KNAK', '74594013705']",obs,
8,2022-05-20,1653019200,83.5,55.3,65.8,84.1,55.3,65.8,62.2,90.1,0.434,100.0,12.5,['rain'],0.0,0.0,34.4,12.5,85.6,1011.6,48.8,6.9,960.0,84.0,10.0,05:38:58,1653039538,20:12:48,1653091968,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"['KTTN', 'KWRI', '72409514792', '72408594732', '72409614706', 'D5416', 'KPNE']",obs,30.0
9,2019-05-28,1559016000,86.7,62.9,72.8,90.4,62.9,73.5,62.8,71.6,0.302,100.0,33.33,['rain'],0.0,0.0,51.0,12.6,236.4,1008.2,53.9,9.9,199.3,17.3,7.0,05:42:07,1559036527,20:27:55,1559089675,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['KMDT', 'KTHV', 'KMUI', 'MNGP1', '72511814751', 'KCXY', '72399014711', 'E7690']",obs,
